Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
nirmal insan 7,insannirmal7,23270,1273,121,7.60797E+17,FALSE,Sec..18..Panipat.   ( Haryana),8/3/2016 11:19,8.01633E+17,"RT @insannirmal7: Yes Guru @Gurmeetramrahim Ji
Congratulation To
#realDonaldTrump ji👌👌👌👌👌
👏👏👏👏👏👏👏👏👏👏👏👏
🎊🎆😍😘🎉🐅😀💓🐯👍✋🎈 https://t.co/e1tlTRACZM",en,Twitter for Android,8,None,None
Carl,cekoonce1,159,39,4,7.50337E+17,FALSE,,7/5/2016 14:34,8.01631E+17,#realDonaldTrump Hillary did not win the popular vote they estimate 7 million votes  she had was illegal . give me a break.,en,Twitter Web Client,0,None,None
tammy slater,tammycsl,25,48,3,7.90347E+17,FALSE,,10/24/2016 0:20,8.0163E+17,@realDonaldTrump happy thanksgiving to u also Mr.President #realDonaldTrump,en,Twitter for Android,0,25073877,realDonaldTrump
wjkkarma,wjkkarma1,73652,63815,1785,7.03832E+17,FALSE,,2/28/2016 6:40,8.0163E+17,RT @amrightnow: About You #realdonaldtrump #trump2016 #TrumpTrain  Watch https://t.co/j58e8aacrE #VoteTrump2016 #A2 #tcot #A1 https://t.co/…,en,Twitter for Android,2,None,None
wjkkarma,wjkkarma1,73652,63815,1785,7.03832E+17,FALSE,,2/28/2016 6:40,8.01629E+17,RT @amrightnow: About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/ot…,en,Twitter for Android,1,None,None
Kevin J. Taylor,kjTay1,694,457,446,7.58675E+17,FALSE,Toronto On. Canada,7/28/2016 14:48,8.01628E+17,RT @amrightnow: Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/2yqsapO…,fr,Twitter for Android,2,None,None
#AmericansMATTER,realNorthSky,8934,4046,127,7.54773E+17,FALSE,,7/17/2016 20:23,8.01625E+17,"Mitt Romney Is
The Smelly Brown Snake
Of Politics! 💩
#realDonaldTrump
Tell That POS 💩 NO
TO SOS!
#NeverRomney https://t.co/FS7GOmouuZ",en,Twitter for Android,1,None,None
MsDeplorable,Deplorable10916,2764,730,369,7.8522E+17,FALSE,"LOVE OUR COUNTRY,United States",10/9/2016 20:45,8.01623E+17,RT @amrightnow: About You #realdonaldtrump #trump2016 #Trump2016 #TrumpTrain https://t.co/j58e8aacrE https://t.co/47muSYFqf8,en,Twitter Web Client,2,None,None
Doug Thomson,sikkbird,241,94,7,7.96885E+17,FALSE,"California, USA",11/11/2016 1:18,8.01622E+17,#realdonaldtrump Is anyone really surprised? We all know that Drumpf is a lying Cheating racist know nothing bigot  https://t.co/tCUuUbRNlJ,en,Twitter for iPad,0,None,None
Deplorable Steph,stevens1777,33039,25747,1567,7.40272E+17,FALSE,"Stagecoach, TX",6/7/2016 20:01,8.01621E+17,RT @amrightnow: Trump About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #trump2016 https://t.co/qz7VrNGZvd,en,Twitter for Android,1,None,None
JCANIDA,CanidaJames,19754,19401,948,7.56257E+17,FALSE, American w/Constitution value,7/21/2016 22:40,8.01619E+17,RT @amrightnow: #realdonaldtrump Trump About You https://t.co/j58e8aacrE via @YouTube  #WisconsinPrimary #Wisconsin #Wisconsinpoll https://…,en,Twitter for Android,7,None,None
