Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
Juan Wayne,Wayne5Juan,6016,7,122,7.96091E+17,FALSE,"California, USA",11/8/2016 20:43,8.01864E+17,RT @0Hour1Intern: On a day to be thankful. I am incredibly thankful @realDonaldTrump won the presidency #happythanksgiving,en,Twitter for iPhone,3,None,None
America Getreal,americagetreal1,10,1,0,7.97233E+17,FALSE,,11/12/2016 0:20,8.01864E+17,"@KellyannePolls @realDonaldTrump  yes lets accept the election results please. You know, the REAL ones, America voted Clinton not (T)Rump",en,Twitter Web Client,0,471672239,KellyannePolls
Deplorable for Trump,ejoy2270,36190,28216,2016,7.05434E+17,FALSE,,3/3/2016 16:45,8.01864E+17,RT @Don_Vito_08: @realDonaldTrump is my President #Jobs #MakeAmericaGreatAgain https://t.co/F1oVHL0rPa,en,Twitter Web Client,10,None,None
Sons of Liberty,solnet1776,500,40,14,7.53449E+17,FALSE,,7/14/2016 4:38,8.01864E+17,"@vote_leaveWatch @somerfjord @realDonaldTrump Yup, pure tyrannical terrorist funding. Threat to electoral college, threat to our COTUS.",en,Twitter Web Client,0,7.42706E+17,vote_leaveWatch
Art,StarBiscuts,3463,1925,27,7.44648E+17,FALSE,"Silverton, Oregon ",6/19/2016 21:48,8.01864E+17,@realDonaldTrump It's all in vain you will be out on your fat ass soon,en,Twitter for Android,0,25073877,realDonaldTrump
Phoenix999,Phoenix999666,556,18,493,7.94598E+17,FALSE,,11/4/2016 17:52,8.01864E+17,"RT @realDonaldTrump: I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROG…",en,Twitter Web Client,14608,None,None
Kathy Jay,kathyjay001,4081,5180,326,4765952610,FALSE,"California, USA",1/16/2016 2:38,8.01864E+17,RT @realDonaldTrump: Happy Thanksgiving to all--even the haters and losers!,en,Twitter for Android,42303,None,None
FelineGroovy,GroovyFeline,10127,11191,978,7.02734E+17,FALSE,West Coast,2/25/2016 5:56,8.01864E+17,"Sure they were. 🙄@Codi6934268 @realDonaldTrump
#StupidPeopleExplainThingsToMe",en,Twitter for iPhone,0,4867851665,Codi6934268
Cody James Soles,SolesCody,2,2,10,7.65301E+17,FALSE,,8/15/2016 21:36,8.01864E+17,"RT @realDonaldTrump: Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",en,Twitter for Android,37516,None,None
Jean Polland,jeanpolland1234,608,449,53,7.62137E+17,FALSE,,8/7/2016 4:04,8.01864E+17,"@Carrier stay in the #USA🇺🇸!
Thank God for @realDonaldTrump #MAGA.",en,Twitter for iPhone,0,309802865,Carrier
Nancy Fraize,Trumpwinner,46697,1927,1927,7.05594E+17,FALSE,,3/4/2016 3:22,8.01864E+17,"@DonnaLedford8 @DougDoodles @ffweekend @realDonaldTrump these ppl,16 of them named and still tell u lies stupid ppl believe them,Tump ppl",en,Twitter for Android,0,4890383820,DonnaLedford8
Tracy Broshar,TracyBroshar,1,7,2,7.0369E+17,FALSE,,2/27/2016 21:14,8.01864E+17,@realDonaldTrump hoping for a recount.,en,Mobile Web (M5),0,25073877,realDonaldTrump
Carlos,yerzinia1,13878,14600,121,7.71366E+17,FALSE,,9/1/2016 15:14,8.01864E+17,RT @DefendingtheUSA: FLASHBACK : #MittRomney orchestrated Super Pac attacks against @realDonaldTrump #NeverRomney https://t.co/uit4jrqi6G,en,Twitter for iPhone,27,None,None
Politically Confused,55Confused,236,72,23,7.34062E+17,FALSE,United States,5/21/2016 16:43,8.01864E+17,@Non_MSM_News @realDonaldTrump You are backwards with that,en,Twitter for Android,0,3702234197,Non_MSM_News
Shaun Murphy,murph7041,1732,223,19,7.8304E+17,FALSE,,10/3/2016 20:23,8.01864E+17,RT @972_834: @realDonaldTrump #MAGA @FoxNews @HouseGOP @SenateGOP @seanhannity @JudgeJeanine @SpeakerRyan @RNC @@foxandfriends @mikepence @…,und,Twitter for Android,13,None,None
tiveson,STRONGEROUTNOEU,6074,66,42,7.18023E+17,FALSE,,4/7/2016 10:30,8.01864E+17,@realDonaldTrump Please invade britain  and make use the 51 state. NO resistance as nothing works anymore. That includes the warships.,en,Twitter for Android,0,25073877,realDonaldTrump
Jay Fields,JayJandk17,45152,43039,803,7.13731E+17,FALSE,"Rockledge, FL",3/26/2016 14:15,8.01864E+17,RT @comradewong: Surprise! Everything @realDonaldTrump has done so far shows he was scamming his working-class supporters. Op-ed: https://t…,en,Twitter for iPad,33,None,None
I'm Garrett Bryson?,2fly_g_bry,126,651,126,7.55593E+17,FALSE,"New Mexico, USA",7/20/2016 2:41,8.01864E+17,RT @realDonaldTrump: Happy Thanksgiving to all--even the haters and losers!,en,Twitter for iPhone,42312,None,None
Kary,kary2cay,28,1,11,8.0185E+17,FALSE,Canada,11/24/2016 18:08,8.01864E+17,"RT @realDonaldTrump: I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROG…",en,Twitter for Android,14611,None,None
mayor of party city,babadooky,1121,2476,34,7.93179E+17,FALSE,,10/31/2016 19:53,8.01864E+17,"RT @realDonaldTrump: Hope everyone enjoyed their Thanksgiving. But get ready, our country is in big trouble!",en,Twitter for iPhone,8489,None,None
Vicki Beddow,vicki_beddow,4,9,0,7.82302E+17,FALSE,"Texas, USA",10/1/2016 19:30,8.01864E+17,@realDonaldTrump he doesn't deserve the office of the POTUS.,en,Twitter for iPhone,0,25073877,realDonaldTrump
C.r. Ralph,arkiegal411,2900,4947,994,7.64925E+17,FALSE,"Arkansas, USA",8/14/2016 20:42,8.01864E+17,@Jpat1952 @realDonaldTrump @RealDonald4Pres Howdy would be great. Rudy cleaned up the mob @ got rid of thugs in NYC. That's tough.,en,Twitter for Android,0,7.64925E+17,arkiegal411
Kary,kary2cay,28,1,11,8.0185E+17,FALSE,Canada,11/24/2016 18:08,8.01864E+17,RT @realDonaldTrump: Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful childre…,en,Twitter for Android,26141,None,None
Ugochukwu Nweke Jero,NwekeJero,84067,2180,1682,7.59436E+17,FALSE,BIAFRA FOR TRUMP ,7/30/2016 17:08,8.01864E+17,RT @timopara: @EmekaGift The intl community is hereby urged to act in the interest of humanity. Say no #TyrantBuhari. @UN @realDonaldTrump…,en,Twitter for Android,123,None,None
Brent Cottons,brent_cottons,1033,530,20,4799952974,FALSE,,1/22/2016 21:50,8.01864E+17,"@Jassssssooon @realDonaldTrump You are a sad human being , he conned your pea brain",en,Mobile Web (M5),0,2300289704,Jassssssooon
Phoenix999,Phoenix999666,556,18,493,7.94598E+17,FALSE,,11/4/2016 17:52,8.01864E+17,RT @Alpha_Stormer: INSANE PROOF!! Barack Obama was born in Kenya (not Hawaii) READ AND WEEP! @realDonaldTrump @DonaldJTrumpJr @trump2021 @P…,en,Twitter Web Client,3,None,None
Jorge William,jorgewilliam374,2356,606,106,7.62033E+17,FALSE,"Unaí, Brasil",8/6/2016 21:08,8.01864E+17,"RT @realDonaldTrump: Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Thank…",en,Twitter for Android,36734,None,None
Kary,kary2cay,28,1,11,8.0185E+17,FALSE,Canada,11/24/2016 18:08,8.01864E+17,"RT @realDonaldTrump: Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Thank…",en,Twitter for Android,36734,None,None
"Wolves,Dobe,DanesMom",Servicedoberman,2100,952,77,7.84101E+17,FALSE,USA,10/6/2016 18:41,8.01864E+17,"RT @smooth19661: Agree here , But no damn olive branches to Romney , Mitt Romney is poison . Remember that @realDonaldTrump . https://t.co/…",en,Twitter for Android,1,None,None
American vet,Americanvet6,161,154,2,7.69004E+17,FALSE,"New Mexico, USA",8/26/2016 2:50,8.01864E+17,@drayIor @realDonaldTrump thats not a nice thing,en,Twitter for Android,0,276382283,drayIor
☄ كرايز,iiiib9,9630,99,522,7.41771E+17,FALSE,"New York, USA",6/11/2016 23:16,8.01864E+17,RT @realDonaldTrump: Happy Thanksgiving to all--even the haters and losers!,en,Twitter for iPhone,42312,None,None
Donald J Frump,realdona1dfrump,2,1,0,8.01862E+17,FALSE,,11/24/2016 18:55,8.01864E+17,"@realDonaldTrump Libs told me time travel was impossible, racism, coal, and disbelief in science 1850's are right around the corner!#Trumped",en,Twitter Web Client,0,25073877,realDonaldTrump
Bonnie Blue,bluebonnie00,88,60,7,7.98713E+17,FALSE,,11/16/2016 2:22,8.01864E+17,@ira @realDonaldTrump That's terrible. That attitude is disgusting.,en,Twitter for Android,0,20926233,ira
Blue Collar Red Caps,tigertrollz2,16691,187,899,7.85257E+17,FALSE,Middle Earth,10/9/2016 23:14,8.01864E+17,RT @krhomolka: https://t.co/1qHpLHBQCl @realDonaldTrump @KellyannePolls #TheSnakeInTheSwamp #NeverRomney,und,Twitter Web Client,1,None,None
Ronald Mallatt,ronlm1950,94,38,5,7.90027E+17,FALSE,"Goddard, KS",10/23/2016 3:06,8.01864E+17,@robinhardage @MrInsaf @realDonaldTrump go Donald make America great again,en,Twitter Web Client,0,276724563,robinhardage
Darlene Bachman,darlene_bachman,2,1,0,7.88828E+17,FALSE,,10/19/2016 19:44,8.01864E+17,@realDonaldTrump,und,Twitter for Android,0,25073877,realDonaldTrump
Shana Houlihan,ShanaHoulihan1,1436,2325,52,7.23547E+17,FALSE,,4/22/2016 16:20,8.01864E+17,@realDonaldTrump Just because the Congress doesn't work...you DO!,en,Twitter for Android,0,25073877,realDonaldTrump
Deplorable Normie,TrumpsArmy,15358,3411,857,7.03816E+17,FALSE,"Atlanta, GA",2/28/2016 5:35,8.01864E+17,@EcoSexuality @RealAlanJTran @quyyum10 @realDonaldTrump Take one of these and call me in the morning. https://t.co/RNIwNJiK9G,en,Twitter Web Client,0,64033924,EcoSexuality
The  🕳  Reaper,S3vDev1,131,661,64,7.6575E+17,FALSE,,8/17/2016 3:19,8.01864E+17,BabyGirl is Sick... I haven't been Sick in a Whole Year... Self Healing is a Hell of A Blessing.... @realDonaldTrump 👁🕳🍁,en,Twitter for Android,0,None,None
Trumps Elect Cowgirl,Trumps_Cowgirls,8520,977,2165,7.21421E+17,FALSE,Texas,4/16/2016 19:33,8.01864E+17,"RT @Kmadry1234Karen: @KellyannePolls we will NEVER forget  @realDonaldTrump, don’t reward Mitt Romney. @transition2017 #NeverRomney https:/…",en,Twitter for Android Tablets,67,None,None
Irma Hinojosa 🇺🇸,latinaafortrump,19658,34505,35304,7.42749E+17,FALSE,"California, USA",6/14/2016 16:03,8.01864E+17,RT @realDonaldTrump: Happy Thanksgiving to all--even the haters and losers!,en,Twitter for iPhone,42322,None,None
rks3286,rks32861,73,120,13,7.11225E+17,FALSE,,3/19/2016 16:17,8.01864E+17,@Early__May @realDonaldTrump Hillary who??,en,Twitter for Android,0,2154127219,Early__May
Trish Palsa,trish_palsa,9650,9512,311,7.49941E+17,FALSE,"Ohio, USA",7/4/2016 12:19,8.01864E+17,RT @scottisbell_: Screw the turkey. Now THIS is a bird to be proud of. God bless America and God bless President @realDonaldTrump #Trumpifi…,en,Twitter for iPhone,20,None,None
Marie Spears,mariespearsai,266,524,9,7.99021E+17,FALSE,,11/16/2016 22:47,8.01864E+17,@1600PAave @politico @realDonaldTrump not so.Research the facts.,en,Twitter for Android,0,265098080,1600PAave
★Ol' GATOR™★,TheRealOleGator,379,1505,128,7.50038E+17,FALSE,California,7/4/2016 18:46,8.01864E+17,"RT @realDonaldTrump: Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Thank…",en,Twitter for Android,36737,None,None
AnaMoonBeam,AnaSFel1,1750,1473,149,7.90349E+17,FALSE,"Mother Earth, Milky Way",10/24/2016 0:28,8.01864E+17,@MAHAMOSA @realDonaldTrump he is and he's helping educate us,en,Twitter for Android,0,56038149,MAHAMOSA
TheSwampMonitor,TheSwampMonitor,288,585,52,7.97578E+17,FALSE,"New Jersey, USA",11/12/2016 23:15,8.01864E+17,"RT @MorrisGreggory: @realDonaldTrump is neither the villain nor the hero he has been made out to be. He is only human.

#MakeTheWorldGreatA…",en,Twitter for iPad,1,None,None
Liberty Jones,LibertyJones777,3799,649,113,7.53771E+17,FALSE,,7/15/2016 1:58,8.01864E+17,RT @TrumpNewMedia: #Trump fans don't want @MittRomney any where near the White House! #GOP #MAGA #Trump #NeverRomney @realDonaldTrump @Ivan…,en,Twitter for iPhone,37,None,None
Bruce,bnplu1,4,4,0,7.98889E+17,FALSE,,11/16/2016 14:00,8.01864E+17,@realDonaldTrump Happy Thanksgiving Sir!,en,Twitter for iPhone,0,25073877,realDonaldTrump
Ambour Leal,keepingsolace,1340,2124,33,7.15718E+17,FALSE,"Texas, USA",4/1/2016 1:49,8.01864E+17,"RT @realDonaldTrump: Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",en,Twitter for iPhone,37522,None,None
Angelina Jolie,FindingAngieNPm,1505,24,73,4727269076,FALSE,Beside Angie mssng her badass,1/8/2016 7:24,8.01864E+17,You aRe N #Control of Your #Own #Destiny @realDonaldTrump told No OVO 20M #Times Incl #Past President &amp; his own… https://t.co/pXUnktlxj4,en,Twitter for iPhone,0,None,None
D. Trump / D. Brent,trumpbrent,12,0,0,8.01834E+17,FALSE,"London, England",11/24/2016 17:04,8.01864E+17,@rickygervais @realDonaldTrump #davidbrent #theoffice https://t.co/kAUrCx3JYP,und,Twitter Web Client,0,20015311,rickygervais
AnimuWallace,RadioFreeWest,2718,7223,181,4719393482,FALSE,,1/6/2016 16:50,8.01864E+17,"RT @realDonaldTrump: I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROG…",en,Twitter Web Client,14621,None,None
Ashley West,AshleyWest1984,122,52,5,7.97564E+17,FALSE,,11/12/2016 22:18,8.01864E+17,RT @vcutrader: @KellyannePolls Rudy gave it 100% for @realDonaldTrump while @MittRomney tried to help Hillary win - it would be a disgrace!!,en,Twitter Web Client,156,None,None
Paul Rodrigues,Righthandshift,1,0,0,7.6495E+17,FALSE,,8/14/2016 22:20,8.01864E+17,"@realDonaldTrump   He is a Neuro Surgeon, how does that qualify him to run HUD ?",en,Mobile Web (M5),0,25073877,realDonaldTrump
FireofPhoenix,jabez_george,131,223,17,4845891954,FALSE,"Hyderabad, India",2/1/2016 19:55,8.01864E+17,@seanhannity @rooster7541 @FoxNews @MittRomney @realDonaldTrump Trump has a big heart and forgiving character. But Mitt Romney sucks!,en,Twitter for Android,0,41634520,seanhannity
Truth USA 2020,truthUSA2020,1105,206,307,7.87151E+17,FALSE,Minnesota ,10/15/2016 4:40,8.01864E+17,"RT @realDonaldTrump: Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",en,Twitter for iPhone,37522,None,None
