Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01806E+17,"I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!",en,Twitter for Android,17142,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01629E+17,"Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",en,Twitter for Android,39884,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01611E+17,"Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Th… https://t.co/RY9mGGjrXm",en,Twitter for iPhone,38442,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.0122E+17,Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,en,Twitter for Android,26288,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01111E+17,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,en,Twitter Web Client,25553,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01088E+17,The meeting with the @nytimes is back on at 12:30 today. Look forward to it!,en,Twitter Web Client,6935,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01058E+17,"'Jeff Sessions, a Fitting Selection for Attorney General'
https://t.co/LjKTkAZSFy",en,Twitter for iPhone,9582,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01057E+17,"'President-elect Donald J. Trump's CIA Director Garners Praise'
https://t.co/UFdLWtwBEQ https://t.co/MrPaG7OziQ",en,Twitter for iPhone,7909,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01029E+17,Great meetings will take place today at Trump Tower concerning the formation of the people who will run our government for the next 8 years.,en,Twitter for Android,16776,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01027E+17,The failing @nytimes just announced that complaints about them are at a 15 year high. I can fully understand that - but why announce?,en,Twitter for Android,11509,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01025E+17,Perhaps a new meeting will be set up with the @nytimes. In the meantime they continue to cover me inaccurately and with a nasty tone!,en,Twitter for Android,9172,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",8.01022E+17,I cancelled today's meeting with the failing @nytimes when the terms and conditions of the meeting were changed at the last moment. Not nice,en,Twitter for Android,17263,None,None
,,,,,,,,,,,,,,
